,PUMA,poor,high_risk,not_poor
0,3701,15.2406417112,20.320855615,64.4385026738
1,3702,21.1235955056,23.3707865169,55.5056179775
2,3703,14.9006622517,18.2119205298,66.8874172185
3,3704,19.3693693694,23.8738738739,56.7567567568
4,3705,32.7122153209,37.8881987578,29.3995859213
5,3706,26.5780730897,30.8970099668,42.5249169435
6,3707,40.0530503979,32.3607427056,27.5862068966
7,3708,32.3353293413,34.1317365269,33.5329341317
8,3709,25.7936507937,27.5793650794,46.626984127
9,3710,32.4942791762,37.528604119,29.9771167048
10,3801,19.0476190476,28.9855072464,51.966873706
11,3802,24.2105263158,20.350877193,55.4385964912
12,3803,19.7860962567,23.7967914439,56.4171122995
13,3804,22.1538461538,28.6153846154,49.2307692308
14,3805,8.0,6.0,86.0
15,3806,7.55555555556,8.66666666667,83.7777777778
16,3807,10.6884057971,10.8695652174,78.4420289855
17,3808,11.4973262032,6.14973262032,82.3529411765
18,3809,16.170212766,24.0425531915,59.7872340426
19,3810,9.54128440367,7.70642201835,82.752293578
20,3901,15.7894736842,11.3684210526,72.8421052632
21,3902,14.039408867,18.4729064039,67.4876847291
22,3903,18.3246073298,17.4520069808,64.2233856894
23,4001,15.3153153153,23.2432432432,61.4414414414
24,4002,20.1550387597,31.007751938,48.8372093023
25,4003,23.7762237762,29.6037296037,46.62004662
26,4004,8.85860306644,13.7989778535,77.3424190801
27,4005,7.21649484536,7.62886597938,85.1546391753
28,4006,23.2183908046,22.2988505747,54.4827586207
29,4007,29.7752808989,32.8651685393,37.3595505618
30,4008,30.0884955752,29.6460176991,40.2654867257
31,4009,13.5301353014,20.049200492,66.4206642066
32,4010,18.237704918,25.2049180328,56.5573770492
33,4011,25.8928571429,24.7023809524,49.4047619048
34,4012,26.4705882353,21.2669683258,52.2624434389
35,4013,19.4055944056,15.2097902098,65.3846153846
36,4014,23.6842105263,27.4436090226,48.8721804511
37,4015,21.4411247803,22.4956063269,56.0632688928
38,4016,19.6485623003,20.7667731629,59.5846645367
39,4017,25.5882352941,22.3529411765,52.0588235294
40,4018,31.5363881402,24.7978436658,43.6657681941
41,4101,16.1820480405,21.7446270544,62.0733249052
42,4102,20.2797202797,27.2727272727,52.4475524476
43,4103,24.2574257426,19.0594059406,56.6831683168
44,4104,13.8,13.4,72.8
45,4105,13.4699853587,16.3982430454,70.1317715959
46,4106,19.2719486081,16.9164882227,63.8115631692
47,4107,26.5671641791,26.8656716418,46.5671641791
48,4108,13.7554585153,15.7205240175,70.5240174672
49,4109,18.5430463576,21.1920529801,60.2649006623
50,4110,16.1616161616,18.759018759,65.0793650794
51,4111,20.8333333333,21.1956521739,57.9710144928
52,4112,19.7889182058,24.6701846966,55.5408970976
53,4113,19.4174757282,23.786407767,56.7961165049
54,4114,17.5438596491,23.1578947368,59.298245614
